Date,Gold_Price,Unemployment_Rate,Inflation_Rate,Forex_Close,currency
2021-07-01,"1,776.80",0.1607142857142857,2.35,0.0006726444210684778,EGP
2021-07-01,"1,776.80",0.1607142857142857,2.35,0.0006008602731041604,SCR
2021-07-01,"1,776.80",0.1607142857142857,2.35,0.00036928670899888047,NOK
2021-07-01,"1,776.80",0.1607142857142857,2.35,0.000521671351443648,SZL
2021-07-01,"1,776.80",0.1607142857142857,2.35,9.63753973737439e-05,MYR
2021-07-01,"1,776.80",0.1607142857142857,2.35,4.3928347317455154e-05,PKR
2021-07-01,"1,776.80",0.1607142857142857,2.35,4.775897430364425e-05,NZD
2021-07-01,"1,776.80",0.1607142857142857,2.35,0.0010321921437196548,CUP
2021-07-01,"1,776.80",0.1607142857142857,2.35,0.005809471096927336,PKR
2021-07-01,"1,776.80",0.1607142857142857,2.35,2.8645264445411476e-05,CAD
2021-07-01,"1,776.80",0.1607142857142857,2.35,2.5634182277817723e-05,CHF
2021-07-01,"1,776.80",0.1607142857142857,2.35,0.0007020037760238193,ZMW
2021-07-01,"1,776.80",0.1607142857142857,2.35,7.563094854332806e-05,FJD
2021-07-01,"1,776.80",0.1607142857142857,2.35,0.02375712094600102,XOF
2021-07-01,"1,776.80",0.1607142857142857,2.35,0.6268212296625506,IDR
2021-07-01,"1,776.80",0.1607142857142857,2.35,0.003728419844477037,JPY
2021-07-01,"1,776.80",0.1607142857142857,2.35,0.001162806167882359,UAH
2021-07-01,"1,776.80",0.1607142857142857,2.35,0.0011940632657865783,TWD
2021-07-01,"1,776.80",0.1607142857142857,2.35,6.575316731365717e-05,PKR
2021-07-01,"1,776.80",0.1607142857142857,2.35,3.951075239831147e-05,CHF
2021-07-01,"1,776.80",0.1607142857142857,2.35,0.06006933280994088,MMK
2021-07-01,"1,776.80",0.1607142857142857,2.35,1.1893954613508482e-06,BRL
2021-07-01,"1,776.80",0.1607142857142857,2.35,0.00013901330307891912,MYR
2021-07-01,"1,776.80",0.1607142857142857,2.35,0.4860029205946099,IDR
2021-07-01,"1,776.80",0.1607142857142857,2.35,0.00021615267973892777,CNY
2021-07-01,"1,776.80",0.1607142857142857,2.35,0.012712369764075478,HUF
2021-07-01,"1,776.80",0.1607142857142857,2.35,0.000668718242606848,MXN
2021-07-01,"1,776.80",0.1607142857142857,2.35,9.602954325162379e-07,MYR
2021-07-01,"1,776.80",0.1607142857142857,2.35,4.283745245115745e-05,BMD
2021-07-01,"1,776.80",0.1607142857142857,2.35,9.125196947958498e-06,KWD
2021-07-01,"1,776.80",0.1607142857142857,2.35,0.000485993181763479,EGP
2021-07-01,"1,776.80",0.1607142857142857,2.35,0.0006086623087338238,SZL
2021-07-01,"1,776.80",0.1607142857142857,2.35,0.00015406200855019026,BRL
2021-07-01,"1,776.80",0.1607142857142857,2.35,8.493538987698996e-05,BBD
2021-07-01,"1,776.80",0.1607142857142857,2.35,0.0004637971762598548,MXN
2021-07-01,"1,776.80",0.1607142857142857,2.35,0.017042608345530695,XOF
2021-07-01,"1,776.80",0.1607142857142857,2.35,0.000266985350676041,NOK
2021-07-01,"1,776.80",0.1607142857142857,2.35,0.00028695222531645016,TTD
2021-07-01,"1,776.80",0.1607142857142857,2.35,0.000366792871367932,SEK
2021-07-01,"1,776.80",0.1607142857142857,2.35,0.009936782434197074,HUF
2021-07-01,"1,776.80",0.1607142857142857,2.35,0.00039777414897998367,BWP
2021-07-01,"1,776.80",0.1607142857142857,2.35,0.0007383229911776244,HNL
2021-07-01,"1,776.80",0.1607142857142857,2.35,0.0006667835270110405,CZK
2021-07-01,"1,776.80",0.1607142857142857,2.35,0.0052997831670732265,ISK
2021-07-01,"1,776.80",0.1607142857142857,2.35,0.008463824620829055,LKR
2021-07-01,"1,776.80",0.1607142857142857,2.35,8.068170392156535e-08,USD
2021-07-01,"1,776.80",0.1607142857142857,2.35,0.00015266816149129135,USD
2021-07-01,"1,776.80",0.1607142857142857,2.35,1.5304378619981422e-07,EUR
2021-07-01,"1,776.80",0.1607142857142857,2.35,0.0006304950137445685,TWD
2021-07-01,"1,776.80",0.1607142857142857,2.35,0.00011849429116034569,TND
2021-07-01,"1,776.80",0.1607142857142857,2.35,0.000996699923791887,UAH
2021-07-01,"1,776.80",0.1607142857142857,2.35,0.00033125747012036614,ZAR
2021-07-01,"1,776.80",0.1607142857142857,2.35,5.75426010092697e-05,SGD
2021-07-01,"1,776.80",0.1607142857142857,2.35,7.829716997646061e-05,BYN
2021-07-01,"1,776.80",0.1607142857142857,2.35,0.0001407288835658454,PEN
2021-07-01,"1,776.80",0.1607142857142857,2.35,0.0031243160054497355,XPF
2021-07-01,"1,776.80",0.1607142857142857,2.35,0.001176903580496773,THB
2021-07-01,"1,776.80",0.1607142857142857,2.35,1.663055114461754e-05,GBP
2021-07-01,"1,776.80",0.1607142857142857,2.35,0.04156593397352206,KRW
2021-07-01,"1,776.80",0.1607142857142857,2.35,5.704404457795753e-05,AUD
2021-07-01,"1,776.80",0.1607142857142857,2.35,1.732530163856315e-07,AUD
2021-07-01,"1,776.80",0.1607142857142857,2.35,3.6608725569646715e-05,USD
2021-07-01,"1,776.80",0.1607142857142857,2.35,0.00020012393525541968,NOK
2021-07-01,"1,776.80",0.1607142857142857,2.35,0.0002888429835083512,MOP
2021-07-01,"1,776.80",0.1607142857142857,2.35,2.2249089656646826e-05,GBP
2021-07-01,"1,776.80",0.1607142857142857,2.35,0.00028663269596729095,SEK
2021-07-01,"1,776.80",0.1607142857142857,2.35,1.8737774716066503e-07,CHF
